epoch,train_loss,val_loss,val_pos_rmse,val_quat_angle_deg,epoch_time,current_lr,lstm_layers,lstm_hidden_size,bidirectional,dropout_rate,sequence_length,batch_size,learning_rate,lr_scheduler,optimizer,timestamp
1,0.023703069103563703,0.018970392766260655,0.02564858450709905,1.8892384512335523,2025-01-25 05:45:33,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
2,0.018073101802842648,0.0186725967350442,0.025569922496006946,0.7535269537565845,2025-01-25 05:45:36,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
3,0.017325313768786856,0.018571347492163843,0.025398773899060485,1.0118951396581437,2025-01-25 05:45:40,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
4,0.01720186623804294,0.01845225942469089,0.025310055013627788,0.8736852471986815,2025-01-25 05:45:43,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
5,0.01722844713012597,0.018289899362129308,0.025157253928781296,1.0690131838734445,2025-01-25 05:45:47,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
6,0.01704485740458661,0.018431212093733322,0.025255979337989756,1.883452072532843,2025-01-25 05:45:50,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
7,0.01694882750772394,0.018419213440687022,0.025205097614562237,2.3449501498048986,2025-01-25 05:45:54,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
8,0.016891393312693164,0.01835798222145118,0.02514255839929105,2.302278469531734,2025-01-25 05:45:57,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
9,0.01676821862787531,0.01837715908893706,0.025169391530293867,2.157178562781,2025-01-25 05:46:01,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
10,0.016864503983680796,0.01834554353589627,0.02514495838627874,2.082677647169715,2025-01-25 05:46:04,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
11,0.016847362921632848,0.018337175650435075,0.0251421008273831,2.0174353387332298,2025-01-25 05:46:08,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
12,0.016839629887793462,0.018315693030621263,0.025133451008370153,1.9259411477284698,2025-01-25 05:46:11,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
13,0.01684246984155701,0.01831262881832772,0.025138443359237612,1.8109094179372203,2025-01-25 05:46:14,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
14,0.01683189504419272,0.018305040082119615,0.025136938715777893,1.6896837904922621,2025-01-25 05:46:18,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
15,0.016784293324794485,0.01829679796437376,0.025138089030222147,1.5694559622484787,2025-01-25 05:46:21,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
16,0.016830978100046107,0.018291819448991914,0.0251370781450816,1.4952143614316589,2025-01-25 05:46:25,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
17,0.016830271104117854,0.018289830687969365,0.025138320873627815,1.4493974205312727,2025-01-25 05:46:28,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
18,0.01682814054230864,0.018283264522188317,0.02513174629076369,1.4322707332809304,2025-01-25 05:46:32,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
19,0.01682576020730932,0.01828481694770472,0.02513362873157396,1.439781299436897,2025-01-25 05:46:35,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
20,0.01682572110084726,0.018290391098272716,0.02513656964585386,1.4660935528362158,2025-01-25 05:46:39,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
21,0.01683083442557978,0.01828826875338836,0.025134066332876903,1.501185190429446,2025-01-25 05:46:42,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
22,0.016823431455016295,0.01830752922448321,0.025144399812231124,1.5571392726463615,2025-01-25 05:46:45,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
23,0.016838249452014613,0.01829733430172935,0.02513513719937415,1.5865598024512166,2025-01-25 05:46:49,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
24,0.01682825595986598,0.018294751137129476,0.025132576503687748,1.6054039702789054,2025-01-25 05:46:52,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
25,0.01683300157665366,0.0183035692996476,0.025140251101025544,1.6149642169421425,2025-01-25 05:46:56,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
26,0.016830562235625665,0.018298586752161245,0.025133918093342825,1.6137167704868172,2025-01-25 05:46:59,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
27,0.016824017195513744,0.018298078023732824,0.025136393470543004,1.6018351982453598,2025-01-25 05:47:03,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
28,0.016829999234305875,0.018301375854377435,0.025138530424054176,1.583571694553923,2025-01-25 05:47:06,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
29,0.01682870115661744,0.01829351116816087,0.025135599033962047,1.5592427468699481,2025-01-25 05:47:10,0.001,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
30,0.016824065083240317,0.018294189873839094,0.02513498471888367,1.5301824718608255,2025-01-25 05:47:13,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
31,0.01644751108535452,0.018148740333565904,0.025056237508556265,1.0016933896941784,2025-01-25 05:47:16,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
32,0.01634619391705023,0.018052657185966655,0.02500251450858262,0.8093190534006741,2025-01-25 05:47:20,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
33,0.016280275949549564,0.01798113761252123,0.02496577451627466,0.7417905171129324,2025-01-25 05:47:23,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
34,0.016234334118141815,0.017926499659900563,0.02494133635346751,0.7197287517570157,2025-01-25 05:47:27,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
35,0.01620075859402011,0.017883317777886987,0.024924995747733443,0.7115861370439754,2025-01-25 05:47:30,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
36,0.01617691755925146,0.017849221531841382,0.024914823547279072,0.7120317803315672,2025-01-25 05:47:34,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
37,0.016159238917298795,0.017822086747418045,0.024908765524737773,0.7096320268605925,2025-01-25 05:47:37,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
38,0.016146969760586393,0.017801149949000575,0.02490543583456577,0.7121163775742374,2025-01-25 05:47:41,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
39,0.016137990896113036,0.017785108087379833,0.0249040071027207,0.7120803183233532,2025-01-25 05:47:44,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
40,0.016132233369379963,0.017772955001793177,0.02490385015321858,0.7120454284605993,2025-01-25 05:47:48,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
41,0.016128468939114543,0.017764182852703,0.024904382276894385,0.7120173338780462,2025-01-25 05:47:51,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
42,0.01612576793811125,0.0177571374371378,0.024905114337920614,0.7120017269818184,2025-01-25 05:47:55,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
43,0.0161243001405127,0.017751548289121174,0.02490594178969175,0.7119890130729053,2025-01-25 05:47:58,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
44,0.01612319212872535,0.017747222967054173,0.024906790660630448,0.7119834130508743,2025-01-25 05:48:02,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
45,0.01612208839562699,0.01774396310956435,0.02490753818952854,0.7119809772152123,2025-01-25 05:48:05,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
46,0.016121946625332007,0.01774117629050286,0.024908235121636566,0.7119740069538034,2025-01-25 05:48:09,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
47,0.01612137484267672,0.017738978610217362,0.024908950178868215,0.7119704474233584,2025-01-25 05:48:13,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
48,0.016120584771355115,0.01773726255426218,0.024909637817607865,0.711970711734125,2025-01-25 05:48:16,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
49,0.016120922391121163,0.017736053933110958,0.024910176122894208,0.7119715410714927,2025-01-25 05:48:19,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
50,0.016120392466304687,0.017735036979451183,0.02491057586945057,0.7119728682980336,2025-01-25 05:48:23,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
51,0.016120287062310636,0.017734192089813056,0.024911041007725704,0.7119716480425483,2025-01-25 05:48:27,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
52,0.01612022444705206,0.01773361641767861,0.02491115009776417,0.7119707288145849,2025-01-25 05:48:30,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
53,0.016120161596407386,0.017733275864238493,0.02491134164383247,0.7119747364889216,2025-01-25 05:48:33,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
54,0.016120136792277463,0.01773275918475239,0.024911421352786046,0.7119714526769959,2025-01-25 05:48:37,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
55,0.01612020577815157,0.01773244860336167,0.024911579810502855,0.7119796298536768,2025-01-25 05:48:40,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
56,0.016120072707062498,0.01773237168764974,0.024911675405336328,0.7119790144584199,2025-01-25 05:48:44,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
57,0.0161202823225034,0.017732194868007797,0.024911635359775773,0.711981169401555,2025-01-25 05:48:48,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
58,0.01612008412343041,0.017732158285308906,0.02491171297790012,0.7119820780944902,2025-01-25 05:48:51,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
59,0.016120058265883794,0.01773205257475672,0.024911830924706616,0.7119815064601199,2025-01-25 05:48:54,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
60,0.016120134286792584,0.01773187754486435,0.02491187964685842,0.7119821681720983,2025-01-25 05:48:58,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
61,0.0161200554264857,0.017731754882282916,0.024911765647502467,0.7119814523512177,2025-01-25 05:49:01,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
62,0.01611984373771631,0.017731585157991638,0.024911770418756984,0.711981460517423,2025-01-25 05:49:05,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
63,0.016119967318401193,0.017731580722785478,0.024911850231471223,0.7119879636843567,2025-01-25 05:49:08,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
64,0.016120014181247026,0.01773147155839741,0.024911986085742497,0.7119830279924767,2025-01-25 05:49:12,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
65,0.01612008822323732,0.017731489341653812,0.02491202849528867,0.7119830949428926,2025-01-25 05:49:15,1e-05,2,128,True,0.2,200,32,0.001,"['type=MultiStepLR', 'milestones=[30, 70]', 'gamma=0.01']",Adam,20250125_054528
