epoch,train_loss,val_loss,val_pos_rmse,val_quat_angle_deg,epoch_time,current_lr,lstm_layers,lstm_hidden_size,bidirectional,dropout_rate,sequence_length,batch_size,learning_rate,lr_scheduler,optimizer,timestamp
1,0.024453856563195587,0.018983048267192514,0.025725818184905873,1.5925071730892446,2025-01-25 06:27:42,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
2,0.01749410964406618,0.01850777800699748,0.02532923307680059,0.9316593615093687,2025-01-25 06:27:46,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
3,0.0170125318613051,0.018378032332234014,0.02523898806689877,1.2778479987273867,2025-01-25 06:27:49,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
4,0.016948520470830817,0.018341723659780818,0.025186362931926942,1.4342547673703576,2025-01-25 06:27:53,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
5,0.016965605334659878,0.01832460445813208,0.025185225391596976,1.529826259274374,2025-01-25 06:27:56,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
6,0.017745512375031688,0.018687363002431866,0.0254871849285389,2.1550108742566545,2025-01-25 06:28:00,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
7,0.016992001693905898,0.01838916698557751,0.025176383883353057,2.265681893310929,2025-01-25 06:28:03,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
8,0.0169022104122233,0.018341858018294115,0.025136178967929402,2.20599401678915,2025-01-25 06:28:07,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
9,0.01689071100355671,0.018384794084459682,0.025180667271031847,2.1555083906516757,2025-01-25 06:28:10,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
10,0.01686629942993111,0.018386469381452303,0.02517716650495824,2.1514858371147603,2025-01-25 06:28:14,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
11,0.0168580849162337,0.018345332850275613,0.02515363005791174,2.0357001906589263,2025-01-25 06:28:17,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
12,0.016857403517621227,0.01835747449180094,0.025166954225410862,1.9358515835290322,2025-01-25 06:28:21,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
13,0.016849719766717654,0.018322094741808338,0.02514414650486343,1.8362898329988642,2025-01-25 06:28:24,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
14,0.016845312697398362,0.01833310463491862,0.025158623469155688,1.6834951319267784,2025-01-25 06:28:28,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
15,0.01684119233921193,0.018300120261819843,0.025135393590140546,1.560650483592312,2025-01-25 06:28:31,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
16,0.016839192666982233,0.01829152940946553,0.025135280385574187,1.488576948005018,2025-01-25 06:28:35,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
17,0.016842148384922637,0.018284292402024442,0.025137408254745735,1.4459078331826476,2025-01-25 06:28:38,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
18,0.016835427364240763,0.018289443934510385,0.025139193636846198,1.4307437663769216,2025-01-25 06:28:42,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
19,0.016840318839559786,0.01828780130996743,0.02513338131317693,1.4413833921023171,2025-01-25 06:28:45,0.001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
20,0.01683858186375668,0.01829516059919217,0.02514090653168921,1.4732207418121428,2025-01-25 06:28:49,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
21,0.01633651252415758,0.01788968894909197,0.02487366173718773,0.9223520638653925,2025-01-25 06:28:52,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
22,0.016230428088300226,0.017849534056932778,0.02486018388133678,0.9415244620913927,2025-01-25 06:28:56,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
23,0.016218372443960637,0.01784655296300303,0.02486046263373356,0.9565162716951853,2025-01-25 06:28:59,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
24,0.016217404777232398,0.017847871651577057,0.024860567062830945,0.9672709523648367,2025-01-25 06:29:03,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
25,0.016217533296198447,0.017848996467296485,0.024860593053105385,0.975708768012142,2025-01-25 06:29:06,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
26,0.016216934056776555,0.017849338552087684,0.024860432384660448,0.9810568463399142,2025-01-25 06:29:10,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
27,0.016217981389064978,0.017850472733256555,0.024860805993567634,0.9829799659300632,2025-01-25 06:29:13,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
28,0.01621772145416599,0.01784909889101982,0.02486094812667579,0.9860147114621332,2025-01-25 06:29:16,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
29,0.01622073175250723,0.017849428783754045,0.024861983837221466,0.9884125887941956,2025-01-25 06:29:20,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
30,0.01622631610882264,0.017849120400654516,0.02486088018449003,0.9918922532527469,2025-01-25 06:29:23,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
31,0.016220968235539635,0.017849475587065393,0.024861181435323232,0.9887392481642189,2025-01-25 06:29:27,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
32,0.01621854306474078,0.0178507587972541,0.024860430035461564,0.9876498885342654,2025-01-25 06:29:30,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
33,0.01622205180983434,0.017853965620492872,0.02486169242060562,0.9839411641367883,2025-01-25 06:29:34,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
34,0.016219535282324636,0.017849875549855423,0.024860570350417596,0.9751615547722333,2025-01-25 06:29:37,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
35,0.016222936447877322,0.017850087370253474,0.024861438494634142,0.977512672537477,2025-01-25 06:29:41,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
36,0.016216811036162942,0.017851077404230066,0.024860116440141845,0.9701419408575412,2025-01-25 06:29:44,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
37,0.016217929391877543,0.017846876400670855,0.024856758198936808,0.9613455626579527,2025-01-25 06:29:47,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
38,0.01620913242449893,0.017738607198557008,0.02472595021225228,0.7779902597045171,2025-01-25 06:29:51,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
39,0.01615512851503587,0.01771971051772691,0.02470441670445447,0.7669385720913136,2025-01-25 06:29:54,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
40,0.016025004194830772,0.017588520575984964,0.02453528109254844,0.7167079489919114,2025-01-25 06:29:58,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
41,0.01575135105586236,0.01732011945160959,0.02410993284315444,0.6100708560686624,2025-01-25 06:30:01,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
42,0.015423487364697815,0.017269231738070042,0.02399056144039788,0.6698726106037358,2025-01-25 06:30:05,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
43,0.01519710820944832,0.016991509640345646,0.023519452696904346,0.6988217694288941,2025-01-25 06:30:08,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
44,0.015022035571817513,0.016788120012704248,0.023168349597880847,0.7732346834561334,2025-01-25 06:30:12,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
45,0.014905112660731325,0.01648670947940794,0.02266290296667504,0.8688635735600014,2025-01-25 06:30:15,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
46,0.014793870504377638,0.016144471207120082,0.02203033354924057,0.7602676834255573,2025-01-25 06:30:19,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
47,0.01449999306918826,0.01587867681763927,0.02165006864255159,0.7854515545076187,2025-01-25 06:30:22,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
48,0.014422477448427277,0.015744209105679852,0.02149238020054892,0.8104361526559769,2025-01-25 06:30:26,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
49,0.014116345010641053,0.01540571625374919,0.020917245215400213,0.8424461976986755,2025-01-25 06:30:29,0.0001,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
50,0.014104052379204915,0.01535457503007046,0.020786879693169797,0.8119685473358641,2025-01-25 06:30:33,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
51,0.013596656559625777,0.014991478485307682,0.020260879044737456,0.5616822992784072,2025-01-25 06:30:36,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
52,0.013306408673070553,0.014706534859028026,0.01993442682952795,0.5362381357793152,2025-01-25 06:30:40,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
53,0.013088928725252427,0.014526929687839175,0.019736691848562745,0.5340109921687842,2025-01-25 06:30:43,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
54,0.012938549870443418,0.014410036141662119,0.019644921835448775,0.529377333780985,2025-01-25 06:30:47,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
55,0.012842280793049169,0.014361155349935326,0.01959556573436066,0.5270820428444486,2025-01-25 06:30:50,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
56,0.012842224355469027,0.014319398148838326,0.01955878463268185,0.5231465151858907,2025-01-25 06:30:54,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
57,0.01275651347880229,0.014285766728500897,0.019513872668093755,0.5210304721749627,2025-01-25 06:30:57,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
58,0.012702198398708389,0.014239826190685766,0.01947028401344834,0.5164325472625602,2025-01-25 06:31:01,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
59,0.012611810786922167,0.014202666192023936,0.01941917174173255,0.5152950716029856,2025-01-25 06:31:04,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
60,0.012596527675575599,0.014156568794898584,0.019354695402406034,0.5136695683049128,2025-01-25 06:31:08,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
61,0.012547802515668659,0.014114643426429237,0.019309297379061844,0.5124928075251833,2025-01-25 06:31:11,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
62,0.012477949010946492,0.014087906325993207,0.01927146265328421,0.5102360513841455,2025-01-25 06:31:15,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
63,0.012398611767240232,0.014053014528646055,0.01919391918126873,0.5113107023692846,2025-01-25 06:31:18,1e-05,2,128,True,0.5,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250125_062738
