epoch,train_loss,val_loss,val_pos_rmse,val_quat_angle_deg,epoch_time,current_lr,model_type,sequence_length,batch_size,learning_rate,lr_scheduler,optimizer,timestamp,kernel_size,num_layers,dropout,activation,norm
1,0.03357091360702747,0.018558291247262507,0.02529791751342747,1.4657817921467078,2025-01-29 06:37:01,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
2,0.01839236341439551,0.01903511625584041,0.025325713714038002,3.7040208258059586,2025-01-29 06:37:15,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
3,0.017125007876183655,0.021246268692487313,0.02581956982950126,5.3395082282015425,2025-01-29 06:37:30,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
4,0.017047811094841853,0.02019393348317837,0.02654801395755254,1.2208682620401947,2025-01-29 06:37:44,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
5,0.016391084369885303,0.019274138149187388,0.025613695477431395,2.640202494259523,2025-01-29 06:37:57,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
6,0.01613326591095978,0.017950518587691203,0.024668625221750885,2.826303030819498,2025-01-29 06:38:12,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
7,0.015954120203614145,0.017887671850186502,0.024814170058701866,1.450789729390551,2025-01-29 06:38:26,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
8,0.016423487077785157,0.018439204136135978,0.025189902354694566,1.632780710784519,2025-01-29 06:38:40,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
9,0.015864681552885465,0.018701472570989107,0.025576817190974023,1.4668390180081927,2025-01-29 06:38:54,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
10,0.01592749357670716,0.01776918511463451,0.02438669393680562,1.6178132099790778,2025-01-29 06:39:08,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
11,0.016106863995082675,0.01825468139244226,0.025177090189957955,2.020683273215412,2025-01-29 06:39:22,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
12,0.015943144264818375,0.019310312133465207,0.02642136714835085,2.4576807544046315,2025-01-29 06:39:36,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
13,0.01564191668819659,0.018727906557478916,0.02593490969262746,2.094746305553605,2025-01-29 06:39:50,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
14,0.015920716730974296,0.01733754308476487,0.02388187094090298,1.3467402979687522,2025-01-29 06:40:04,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
15,0.015827657288457152,0.01679843020185863,0.023400036735678708,1.1995548578357673,2025-01-29 06:40:18,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
16,0.01596574515740319,0.02048143146072175,0.02922719750298955,1.3180490722597604,2025-01-29 06:40:32,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
17,0.015792188707529,0.017048914856973723,0.023947680406022718,0.9953996440353953,2025-01-29 06:40:46,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
18,0.01581700139696051,0.01821944951547623,0.0253006346892502,0.845193307631139,2025-01-29 06:40:59,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
19,0.015595584828690513,0.01664035736308999,0.023267117057012714,1.1014229356704097,2025-01-29 06:41:14,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
20,0.015560772709928953,0.01661729591106561,0.023099057301641905,0.9233125534823805,2025-01-29 06:41:28,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
21,0.015644979155366875,0.01645440410465768,0.022929175308108424,0.9678877270245214,2025-01-29 06:41:42,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
22,0.015720588204780277,0.01652636025895182,0.023216413064534994,0.8138206893241628,2025-01-29 06:41:56,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
23,0.01544536035962221,0.017494467090353995,0.024157193454085943,1.0088561496317834,2025-01-29 06:42:10,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
24,0.01569413386949724,0.016248273408632274,0.022633621557732037,1.0206458635338127,2025-01-29 06:42:25,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
25,0.015177456935492866,0.016276736644740764,0.022712681324727837,1.0177555596591106,2025-01-29 06:42:39,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
26,0.015363498194932528,0.016395567248305567,0.022890007961981155,1.2472169226190544,2025-01-29 06:42:52,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
27,0.015502711228043886,0.016385206238967234,0.02259093180493371,1.207955960218885,2025-01-29 06:43:06,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
28,0.015518314911268379,0.01673538264030782,0.023086102360431307,1.100867773595881,2025-01-29 06:43:20,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
29,0.015347482028939739,0.016761690166030324,0.02317898097532732,1.1151247146764598,2025-01-29 06:43:34,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
30,0.01491706643776014,0.016174758181724452,0.0224022349610589,1.1645331331519964,2025-01-29 06:43:48,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
31,0.015178780777453695,0.01681352551878543,0.023041156885847285,1.178223162827588,2025-01-29 06:44:02,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
32,0.01545672014159741,0.016785119243497116,0.022901458045434617,0.8779429405702049,2025-01-29 06:44:16,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
33,0.01544085522011922,0.017369002508539184,0.023555858277893853,1.1089333586450576,2025-01-29 06:44:30,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
34,0.015002400573362914,0.016983882764519724,0.02306000355280233,1.123424419532633,2025-01-29 06:44:44,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
35,0.015377507667148077,0.01713056305736721,0.023052412613268503,1.033901871896871,2025-01-29 06:44:58,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
36,0.014760929377601914,0.016220285085021196,0.022390383032121285,0.895982684563974,2025-01-29 06:45:12,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
37,0.015130250435606464,0.016107642743518908,0.022228543994929316,1.0297350040579876,2025-01-29 06:45:26,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
38,0.015126588276769147,0.01646896186241201,0.022412200521191188,1.1485230893533511,2025-01-29 06:45:40,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
39,0.015090618247347998,0.016589427979393192,0.022612838830536643,0.9387978400770978,2025-01-29 06:45:54,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
40,0.014842758015672699,0.017095108863584278,0.02318536679407544,1.0022557478786793,2025-01-29 06:46:08,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
41,0.015043661037102205,0.017070161357139037,0.02294311967877085,0.9319775078285578,2025-01-29 06:46:22,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
42,0.014810625059109909,0.016857368631123033,0.02275971401774086,0.9362109555495616,2025-01-29 06:46:36,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
43,0.014377299194343433,0.016397101403144407,0.022515019631394448,0.7471746406812477,2025-01-29 06:46:50,0.001,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_063645,7,6,0.2,gelu,group
